date,commodity,state,market,avg_price,min_price,max_price
2026-05-05,turmeric,maharashtra,basmat,11477.0,9705.0,13250.0
2026-05-05,turmeric,maharashtra,bhokar,11450.0,10500.0,12400.0
2026-05-05,turmeric,maharashtra,sangli,13000.0,9800.0,18000.0
2026-05-05,turmeric,maharashtra,vai,15500.0,14000.0,17300.0
2026-05-05,turmeric,maharashtra,washim,19500.0,17200.0,21700.0
2026-05-05,turmeric,maharashtra,mumbai,20250.0,16500.0,240000.0
2026-05-05,turmeric,maharashtra,hingoli,12500.0,11500.0,13500.0
2026-05-05,onion,maharashtra,pune,,,1300.0
2026-05-05,onion,maharashtra,nashik,1000.0,1000.0,1000.0
2026-05-05,onion,maharashtra,nagpur,1300.0,1000.0,1400.0
2026-05-05,onion,maharashtra,mumbai,1600.0,1200.0,2000.0
2026-05-05,wheat,maharashtra,akola,2825.0,1950.0,3550.0
2026-05-05,wheat,maharashtra,barshi,2350.0,2350.0,2350.0
2026-05-05,wheat,maharashtra,bhandara,2280.0,2200.0,2400.0
2026-05-05,wheat,maharashtra,jalgaon,2225.0,2200.0,2250.0
2026-05-05,wheat,maharashtra,latur,2700.0,2330.0,2835.0
2026-05-05,soyabean,maharashtra,nagpur,6179.0,5600.0,6372.0
2026-05-05,soyabean,maharashtra,amravati,4868.0,4720.0,5000.0
2026-05-05,soyabean,maharashtra,nanded,4540.0,4500.0,4545.0
2026-05-05,soyabean,maharashtra,latur,6000.0,5700.0,6182.0
2026-05-05,arhar-tur-red-gram-whole,maharashtra,amravati,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,baramati,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,bhokar,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,bhusaval,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,bhandara,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,parbhani,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,jalna,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,pusad,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,wardha,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,washim,,,
2026-05-05,arhar-tur-red-gram-whole,maharashtra,yeotmal,,,
